qid,category_en,category_ja
Q6199972,Streets in General San Martín,
Q6202161,Protest singers,
Q6202478,Captaincy General of Cuba,
Q6202484,Captaincy General of the Philippines,
Q6203544,Protein degradation,
Q6204493,Health centres in Spain,
Q6204497,Health centres by country,
Q6204759,Cervélo TestTeam,
Q6207764,Clorindo Testa,
Q6208687,Medical associations in Spain,
Q6208685,Medical colleges,
Q6209345,General commanders of the German Air Forces,
Q6209365,General commanders of the Canary Islands,
Q6211771,Consejo General del Poder Judicial,
Q6215622,Cervical cancer,
Q6215635,Cancers of bone and articular cartilage,
Q6215633,Gallbladder cancer,
Q6216206,Departamento General Alvear (Corrientes),
Q6216207,"General Alvear, Mendoza",
Q6216211,General Paz Department,
Q6216209,General López Department,
Q6216212,"General Roca Department, Córdoba",
Q6221315,Members of the General Junta of the Principality of Asturias,
Q6221755,General directors of the National Police Corps,
Q6223157,Medical donations,
Q6224494,Buildings and structures in L'Hospitalet de Llobregat,
Q6226162,"Spanish general election, 1936",
Q6226166,"Spanish general election, 2011",
Q6226164,"Spanish general election, 2008",
Q6226204,General elections in Chile,
Q6228036,Pharmaceutical companies of Mexico,
Q6228330,Carnivoran diseases,
Q6228336,Diseases and disorders of the nails,
Q6228347,Diseases and disorders of the reproductive system,
Q6228345,Degenerative diseases and disorders,
Q6228342,Rodent diseases,
Q6228349,Eponymous diseases,
Q6228352,Diseases of intestines,
Q6202984,Genetic mapping,Category:遺伝子マッピング
Q6205150,1550 in the Captaincy General of Chile,Category:1550年のチリ
Q6205159,1800 in the Captaincy General of Chile,Category:1800年のチリ
Q6205156,1575 in the Captaincy General of Chile,Category:1575年のチリ
Q6205157,1647 in the Captaincy General of Chile,Category:1647年のチリ
Q6210564,Municipalities of the canton of Geneva,Category:ジュネーヴ州のコミューン
Q6217011,Sport in Geneva,Category:ジュネーヴのスポーツ
Q6220870,Medical dictionaries,Category:医学辞典
Q6228034,Pharmaceutical companies of Japan,Category:日本の医薬品メーカー
Q6228337,Mammal diseases,Category:哺乳類の病気
Q6228519,Tensile testing,
Q6229909,Eponyms in anatomy,
Q6235262,Spain in the Eurovision Song Contest,
Q6236022,Ferrocarril General Urquiza train stations,
Q6238878,Secondary protein structure,
Q6240465,Medical schools in Colombia,
Q6240469,Medical schools in Spain,
Q6240946,Clinical pharmacology,
Q6241384,Ferrocarril General Bartolomé Mitre,
Q6241389,Ferrocarril General Roca,
Q6241394,Ferrocarril General Urquiza,
Q6241392,Ferrocarril General San Martín,
Q6241510,Ferrocarrils de la Generalitat Valenciana,
Q6241616,Song contests,
Q6242517,Attorneys general of Colombia,
Q6242530,Office of the Attorney General of Colombia,
Q6242947,Neogene formations,
Q6242949,Paleogene formations,
Q6247731,Club Atlético General Lamadrid footballers,
Q6250841,Gegeneophis,
Q6250857,Argentine genealogists,
Q6250863,Costa Rican genealogists,
Q6250861,Chilean genealogists,
Q6250873,Genearchs of Peru,
Q6250865,Mexican genealogists,
Q6250885,Generation of '50,
Q6250867,Uruguayan genealogists,
Q6250898,"General Roca, Río Negro",
Q6250932,Argentine geneticists,
Q6250926,Generals of the Dominican Republic,
Q6250943,21st-century spanish geneticists,
Q6250941,20th-century spanish geneticists,
Q6250937,Chilean geneticists,
Q6250948,South African geneticists,
Q6250953,Peruvian geneticists,
Q6251645,Georgia (country) in the Eurovision Song Contest,
Q6253876,Greece in the Eurovision Song Contest,
Q6254887,Protest music bands,
Q6256280,Genera of Arctiinae,
Q6256285,Genera of Charaxinae,
Q6256298,Genera of Macroglossinae,
Q6256303,Genera of Nymphalinae,
Q6256301,Genera of Morphinae,
Q6256310,Genera of Polyommatinae,
Q6256296,Lycaeninae genera,
Q6256317,Genera of Satyrinae,
Q6256323,Genera of Theclinae,
Q6256320,Genera of Smerinthinae,
Q6256321,Genera of Sphinginae,
Q6256312,Primate genera,
Q6240675,Deaths from cervical cancer,Category:子宮頸癌で亡くなった人物
Q6249541,Ophthalmology drugs,Category:眼科薬
Q6250327,Junior Eurovision Song Contest winners,Category:ジュニア・ユーロビジョン・ソング・コンテスト優勝者
Q6250887,Lost Generation,Category:失われた世代
Q6250934,Canadian geneticists,Category:カナダの遺伝学者
Q6250939,Danish geneticists,Category:デンマークの遺伝学者
Q6250951,Dutch geneticists,Category:オランダの遺伝学者
Q6250947,Japanese geneticists,Category:日本の遺伝学者
Q6250944,Israeli geneticists,Category:イスラエルの遺伝学者
Q6257618,Sega Genesis games,Category:メガドライブ用ソフト
Q6259370,Hospitals in Antioquia,
Q6259368,Hospitals in Andalusia,
Q6259375,Hospitals in Asturias,
Q6259372,Hospitals in Aragon,
Q6259379,Hospitals in Caldas,
Q6259377,Hospitals in Bogotá,
Q6259382,Hospitals in the Canary Islands,
Q6259384,Hospitals in Caquetá,
Q6259385,Hospitals in Castile-La Mancha,
Q6259390,Hospitals in Colombia by department,
Q6259388,Hospitals in Castile and León,
Q6259394,Hospitals in Cuba,
Q6259392,Hospitals in Colombia by city,
Q6259398,Hospitals in Cúcuta,
Q6259396,Hospitals in Cundinamarca,
Q6259402,Hospitals in Elche,
Q6259400,Hospitals in El Salvador,
Q6259406,Hospitals in Florencia (Caquetá),
Q6259404,Hospitals in the Philippines,
Q6259410,Hospitals in León,
Q6259408,Hospitals in Huila,
Q6259415,Hospitals in Madrid,
Q6259412,Hospitals in Lima,
Q6259419,Hospitals in Manizales,
Q6259417,Hospitals in Malvinas Argentinas,
Q6259423,Hospitals in Medellín,
Q6259421,Hospitals in Maracay,
Q6259427,Hospitals in Neiva,
Q6259424,Hospitals in Montevideo,
Q6259430,Hospitals in Norte de Santander,
Q6259435,Hospitals in South Africa,
Q6259432,Hospitals in the City of Rosario,
Q6259433,Hospitals in Santiago de Chile,
Q6259442,Hospitals in Valparaíso,
Q6259440,Hospitals in Valladolid,
Q6259447,Hospitals in Viña del Mar,
Q6259444,Hospitals in Venezuela,
Q6259450,Hospitals in Zamora,
Q6259452,Hospitals in the Community of Madrid,
Q6259467,Hospitals in the Region of Murcia,
Q6259472,Hospitals in Valparaíso Region,
Q6259478,Hospitals in Buenos Aires Province,
Q6259476,Hospitals in the Dominican Republic,
Q6259481,Hospitals in the province of Jaén,
Q6259486,Hospitals in the Balearic Islands,
Q6261391,Infectious disease physicians,
Q6263188,Iceland in the Eurovision Song Contest,
Q6259365,Hospital de Tavera,Category:タベーラ施療院
Q6261301,Surgical procedures and techniques,Category:術式
Q6261355,Pharmaceutical industry,Category:医薬品産業
Q6259492,Former hospitals in Buenos Aires (city),
Q6259490,Hospitals of ISSSTE,
Q6259503,Teaching hospitals in Brazil,
Q6259501,Teaching hospitals in Argentina,
Q6259507,Teaching hospitals in Colombia,
Q6259505,University hospitals in Chile,
Q6259510,University hospitals in Uruguay,
Q6259509,Teaching hospitals in Spain,
Q6259513,University hospitals in Paraguay,
Q6259882,Hungary in the Eurovision Song Contest,
Q6262645,Mayors of General San Martín Partido,
Q6263639,Israel in the Eurovision Song Contest,
Q6263707,Italy in the Eurovision Song Contest,
Q6266959,Latvia in the Eurovision Song Contest,
Q6267962,Lissotesta,
Q6267964,Lissotestella,
Q6268470,Lithuania in the Eurovision Song Contest,
Q6269796,Populated places in General Carrera Province,
Q6270858,"Populated places in Geneva County, Alabama",
Q6270856,"Populated places in Genesee County, New York",
Q6271793,"Populated places in Ste. Genevieve County, Missouri",
Q6272160,"Populated places in Yellow Medicine County, Minnesota",
Q6273099,Luxembourg in the Eurovision Song Contest,
Q6273840,Malta in the Eurovision Song Contest,
Q6274166,1968 protests,
Q6274165,1956 protests,
Q6274171,1989 protests,
Q6274169,1988 protests,
Q6274174,2003 protests,
Q6274173,2002 protests,
Q6274178,2009 protests,
Q6274176,2008 protests,
Q6274180,2010 protests,
Q6274181,2012 protests,
Q6274184,2013 protests,
Q6274199,Student protests in Chile,
Q6275038,Morocco in the Eurovision Song Contest,
Q6276043,Occupational medicine,
Q6277146,Members of the General Council of the Judiciary,
Q6279422,Montenegro in the Eurovision Song Contest,
Q6279468,National Monuments of Chile in Libertador General Bernardo O'Higgins Region,
Q6266002,People from Geneva,Category:ジュネーヴ出身の人物
Q6271759,Health ministers of Germany,Category:ドイツの保健相
Q6274204,Protests by type,Category:タイプ別の抗議
Q6275474,Maximum the Hormone,Category:マキシマム ザ ホルモン
Q6276048,Cosmetic surgery,Category:美容外科学
Q6281450,17th-century Scottish medical doctors,Category:17世紀スコットランドの医師
Q6281448,19th-century Scottish medical doctors,Category:19世紀スコットランドの医師
Q6281452,18th-century Scottish medical doctors,Category:18世紀スコットランドの医師
Q6281453,20th-century Scottish medical doctors,Category:20世紀スコットランドの医師
Q6276531,Protein metabolism,
Q6278148,Health ministers of Venezuela,
Q6278147,Ministers of health of Argentina,
Q6278145,Ministers of health of Eduador,
Q6278242,Chilean Ministers Secretary General of Government,
Q6278243,Chilean Ministers Secretary General of the Presidency,
Q6278705,Moldova in the Eurovision Song Contest,
Q6279947,Morphogenesis,
Q6281512,21st-century English medical doctors,
Q6281825,Monaco in the Eurovision Song Contest,
Q6283755,Illegal drug trade in Argentina,
Q6283760,Illegal drug trade in the United States,
Q6283761,Illegal drug trade in Venezuela,
Q6283754,Venezuelan drug traffickers,
Q6285465,Norway in the Eurovision Song Contest,
Q6288993,Odontesthes,
Q6289343,Order of Civil Health,
Q6292042,Gran Hermano (Argentine TV series) contestants,
Q6292043,Gran Hermano (Spanish TV series) contestants,
Q6292072,Survivor (American TV series) contestants,
Q6292243,General Alvarado Partido,
Q6292247,General Alvear Partido,
Q6292251,General Belgrano Partido,
Q6292249,General Arenales Partido,
Q6292253,General Guido Partido,
Q6292258,General Las Heras Partido,
Q6292256,General La Madrid Partido,
Q6292262,General Madariaga Partido,
Q6292260,General Lavalle Partido,
Q6292267,General Pueyrredón Partido,
Q6292264,General Paz Partido,
Q6292265,General Pinto Partido,
Q6292274,General Villegas Partido,
Q6292273,General Viamonte Partido,
Q6296856,Films about Mexican drug cartels,
Q6296906,Geotechnical penetration tests,
Q6276772,Animal fungal diseases,Category:動物の真菌症
Q6281503,19th-century English medical doctors,Category:19世紀イングランドの医師
Q6281506,17th-century English medical doctors,Category:17世紀イングランドの医師
Q6281504,16th-century English medical doctors,Category:16世紀イングランドの医師
Q6281510,20th-century English medical doctors,Category:20世紀イングランドの医師
Q6281508,18th-century English medical doctors,Category:18世紀イングランドの医師
Q6281598,19th-century British medical doctors,Category:19世紀イギリスの医師
Q6281602,21st-century British medical doctors,Category:21世紀イギリスの医師
Q6281600,18th-century British medical doctors,Category:18世紀イギリスの医師
Q6281601,20th-century British medical doctors,Category:20世紀イギリスの医師
Q6291287,Human Papilloma Virus,Category:ヒトパピローマウイルス
Q6292108,Eurovision Song Contest entrants of 2012,Category:ユーロビジョン・ソング・コンテスト2012参加者
Q6292112,Eurovision Song Contest entrants by country,Category:各国のユーロビジョン・ソング・コンテスト参加者
Q6292109,Junior Eurovision Song Contest entrants,Category:ジュニア・ユーロビジョン・ソング・コンテスト参加者
Q6290584,Osteogeneiosus,
Q6295828,Films directed by Marcel Langenegger,
Q6300355,Poland in the Eurovision Song Contest,
Q6302691,Presidents of the General Junta of the Principality of Asturias,
Q6303164,Veterinary procedures,
Q6304193,Protestantism in Chile,
Q6306781,People from General Paz Partido,
Q6307029,Spanish Royal Academy of Medicine,
Q6308172,United Kingdom in the Eurovision Song Contest,
Q6310355,Demonstrations and protests in 1968,
Q6310959,People from General Roca,
Q6313026,San Marino in the Eurovision Song Contest,
Q6313106,Health in Aragon,
Q6313135,Health in the Land of Valencia,
Q6315095,Serbia and Montenegro in the Eurovision Song Contest,
Q6301713,Portugal in the Eurovision Song Contest,Category:ポルトガルのユーロビジョン・ソング・コンテスト
Q6304191,Protestantism in Germany,Category:ドイツのプロテスタント
Q6304253,Protozoal diseases,Category:原虫病
Q6309430,Reoviruses,Category:レオウイルス科
Q6309579,Eurovision Song Contest entrants for Germany,Category:ドイツのユーロビジョン・ソング・コンテスト参加者
Q6309577,Eurovision Song Contest entrants for Albania,Category:アルバニアのユーロビジョン・ソング・コンテスト参加者
Q6309582,Eurovision Song Contest entrants for Armenia,Category:アルメニアのユーロビジョン・ソング・コンテスト参加者
Q6309583,Eurovision Song Contest entrants for Austria,Category:オーストリアのユーロビジョン・ソング・コンテスト参加者
Q6309580,Eurovision Song Contest entrants for Andorra,Category:アンドラのユーロビジョン・ソング・コンテスト参加者
Q6309586,Eurovision Song Contest entrants for Azerbaijan,Category:アゼルバイジャンのユーロビジョン・ソング・コンテスト参加者
Q6309591,Eurovision Song Contest entrants for Bosnia and Herzegovina,Category:ボスニア・ヘルツェゴビナのユーロビジョン・ソング・コンテスト参加者
Q6309588,Eurovision Song Contest entrants for Belarus,Category:ベラルーシのユーロビジョン・ソング・コンテスト参加者
Q6309595,Eurovision Song Contest entrants for Cyprus,Category:キプロスのユーロビジョン・ソング・コンテスト参加者
Q6309593,Eurovision Song Contest entrants for Bulgaria,Category:ブルガリアのユーロビジョン・ソング・コンテスト参加者
Q6309597,Eurovision Song Contest entrants for Croatia,Category:クロアチアのユーロビジョン・ソング・コンテスト参加者
Q6309600,Eurovision Song Contest entrants for Denmark,Category:デンマークのユーロビジョン・ソング・コンテスト参加者
Q6309606,Eurovision Song Contest entrants for Estonia,Category:エストニアのユーロビジョン・ソング・コンテスト参加者
Q6309611,Eurovision Song Contest entrants for Greece,Category:ギリシャのユーロビジョン・ソング・コンテスト参加者
Q6309608,Eurovision Song Contest entrants for France,Category:フランスのユーロビジョン・ソング・コンテスト参加者
Q6309613,Eurovision Song Contest entrants for Hungary,Category:ハンガリーのユーロビジョン・ソング・コンテスト参加者
Q6309618,Eurovision Song Contest entrants for Israel,Category:イスラエルのユーロビジョン・ソング・コンテスト参加者
Q6309616,Eurovision Song Contest entrants for Ireland,Category:アイルランドのユーロビジョン・ソング・コンテスト参加者
Q6309622,Eurovision Song Contest entrants for Lithuania,Category:リトアニアのユーロビジョン・ソング・コンテスト参加者
Q6309623,Eurovision Song Contest entrants for Luxembourg,Category:ルクセンブルクのユーロビジョン・ソング・コンテスト参加者
Q6309620,Eurovision Song Contest entrants for Latvia,Category:ラトビアのユーロビジョン・ソング・コンテスト参加者
Q6309625,Eurovision Song Contest entrants for Malta,Category:マルタのユーロビジョン・ソング・コンテスト参加者
Q6309630,Eurovision Song Contest entrants for Montenegro,Category:モンテネグロのユーロビジョン・ソング・コンテスト参加者
Q6309628,Eurovision Song Contest entrants for Moldova,Category:モルドバのユーロビジョン・ソング・コンテスト参加者
Q6309634,Eurovision Song Contest entrants for Poland,Category:ポーランドのユーロビジョン・ソング・コンテスト参加者
Q6309632,Eurovision Song Contest entrants for Monaco,Category:モナコのユーロビジョン・ソング・コンテスト参加者
Q6309627,Moroccan Eurovision Song Contest entrants,Category:モロッコのユーロビジョン・ソング・コンテスト参加者
Q6309638,Eurovision Song Contest entrants for Romania,Category:ルーマニアのユーロビジョン・ソング・コンテスト参加者
Q6309636,Eurovision Song Contest entrants for Portugal,Category:ポルトガルのユーロビジョン・ソング・コンテスト参加者
Q6310652,Ribonucleoproteins,Category:リボ核タンパク質
Q6317304,Nuclear test sites,Category:核実験場
Q6341242,Virus albums,
Q6310156,Genetics journals,
Q6313811,Technical Secretaries General of Spain,
Q6313841,Secretariat of Health,
Q6318673,Switzerland in the Eurovision Song Contest,
Q6321446,Intravenous therapy,
Q6325064,Turkey in the Eurovision Song Contest,
Q6325706,Universidad Nacional de General San Martín,
Q6325708,Universidad Nacional de General Sarmiento,
Q6341080,Sui Generis albums,
Q6357843,Countries in the Eurovision Song Contest 2013,
Q6309642,Eurovision Song Contest entrants for San Marino,Category:サンマリノのユーロビジョン・ソング・コンテスト参加者
Q6309646,Eurovision Song Contest entrants for Serbia and Montenegro,Category:セルビア・モンテネグロのユーロビジョン・ソング・コンテスト参加者
Q6309647,Eurovision Song Contest entrants for Switzerland,Category:スイスのユーロビジョン・ソング・コンテスト参加者
Q6309649,Eurovision Song Contest entrants for Turkey,Category:トルコのユーロビジョン・ソング・コンテスト参加者
Q6309652,Eurovision Song Contest entrants for Ukraine,Category:ウクライナのユーロビジョン・ソング・コンテスト参加者
Q6309679,Eurovision Song Contest entrants for the United Kingdom,Category:イギリスのユーロビジョン・ソング・コンテスト参加者
Q6313232,Congenital disorders,Category:先天性疾患
Q6328290,Fungal diseases,Category:真菌症
Q6328696,Nucleocytoplasmic large DNA viruses,Category:巨大核質DNAウイルス
Q6334910,Intelligence tests,Category:知能検査
Q6334923,Cognitive tests,Category:認知検査
Q6359944,Eurovision Song Contest entrants of 1964,Category:ユーロビジョン・ソング・コンテスト1964参加者
Q6360007,Eurovision Song Contest entrants of 1965,Category:ユーロビジョン・ソング・コンテスト1965参加者
Q6360034,Eurovision Song Contest entrants of 1963,Category:ユーロビジョン・ソング・コンテスト1963参加者
Q6360148,Eurovision Song Contest entrants of 1961,Category:ユーロビジョン・ソング・コンテスト1961参加者
Q6360164,Eurovision Song Contest entrants of 1967,Category:ユーロビジョン・ソング・コンテスト1967参加者
Q6360179,Eurovision Song Contest entrants of 1966,Category:ユーロビジョン・ソング・コンテスト1966参加者
Q6360258,Eurovision Song Contest entrants of 1989,Category:ユーロビジョン・ソング・コンテスト1989参加者
Q6360597,Eurovision Song Contest entrants of 1979,Category:ユーロビジョン・ソング・コンテスト1979参加者
Q6360627,Eurovision Song Contest entrants of 1987,Category:ユーロビジョン・ソング・コンテスト1987参加者
Q6360643,Eurovision Song Contest entrants of 1986,Category:ユーロビジョン・ソング・コンテスト1986参加者
Q6360692,Eurovision Song Contest entrants of 1971,Category:ユーロビジョン・ソング・コンテスト1971参加者
Q6360708,Eurovision Song Contest entrants of 1992,Category:ユーロビジョン・ソング・コンテスト1992参加者
Q6360766,Eurovision Song Contest entrants of 1972,Category:ユーロビジョン・ソング・コンテスト1972参加者
Q6360785,Eurovision Song Contest entrants of 1990,Category:ユーロビジョン・ソング・コンテスト1990参加者
Q6360804,Eurovision Song Contest entrants of 1974,Category:ユーロビジョン・ソング・コンテスト1974参加者
Q6360904,Eurovision Song Contest entrants of 1962,Category:ユーロビジョン・ソング・コンテスト1962参加者
Q6360920,Eurovision Song Contest entrants of 1956,Category:ユーロビジョン・ソング・コンテスト1956参加者
Q6360935,Eurovision Song Contest entrants of 1960,Category:ユーロビジョン・ソング・コンテスト1960参加者
Q6360956,Eurovision Song Contest entrants of 1970,Category:ユーロビジョン・ソング・コンテスト1970参加者
Q6360981,Eurovision Song Contest entrants of 1957,Category:ユーロビジョン・ソング・コンテスト1957参加者
Q6360997,Eurovision Song Contest entrants of 1980,Category:ユーロビジョン・ソング・コンテスト1980参加者
Q6361011,Eurovision Song Contest entrants of 1991,Category:ユーロビジョン・ソング・コンテスト1991参加者
Q6361029,Eurovision Song Contest entrants of 1958,Category:ユーロビジョン・ソング・コンテスト1958参加者
Q6361041,Eurovision Song Contest entrants of 1982,Category:ユーロビジョン・ソング・コンテスト1982参加者
Q6361060,Eurovision Song Contest entrants of 1968,Category:ユーロビジョン・ソング・コンテスト1968参加者
Q6361078,Eurovision Song Contest entrants of 1959,Category:ユーロビジョン・ソング・コンテスト1959参加者
Q6361098,Eurovision Song Contest entrants of 1985,Category:ユーロビジョン・ソング・コンテスト1985参加者
Q6361116,Eurovision Song Contest entrants of 1973,Category:ユーロビジョン・ソング・コンテスト1973参加者
Q6394978,Pharmaceutical companies of Switzerland,Category:スイスの医薬品メーカー
Q6395422,Pharmaceutical companies by country,Category:各国の医薬品メーカー
Q6395427,Pharmaceutical companies of Germany,Category:ドイツの医薬品メーカー
Q6362274,Yugoslavia in the Eurovision Song Contest,
Q6362430,Ireland in the Eurovision Song Contest,
Q6362444,Bosnia and Herzegovina in the Eurovision Song Contest,
Q6362622,Belarus in the Eurovision Song Contest,
Q6362679,North Macedonia in the Eurovision Song Contest,
Q6362860,Andorra in the Eurovision Song Contest,
Q6363281,Belgium in the Eurovision Song Contest,
Q6363309,Albania in the Eurovision Song Contest,
Q6363373,Estonia in the Eurovision Song Contest,
Q6363357,Romania in the Eurovision Song Contest,
Q6363445,Austria in the Eurovision Song Contest,
Q6372406,Tributaries of Lake Geneva,
Q6372517,Lake Geneva Basin,
Q6373857,Medical colleges in India,
Q6361353,Eurovision Song Contest entrants for North Macedonia,Category:北マケドニアのユーロビジョン・ソング・コンテスト参加者
Q6361473,Eurovision Song Contest entrants of 2003,Category:ユーロビジョン・ソング・コンテスト2003参加者
Q6361491,Eurovision Song Contest entrants of 1997,Category:ユーロビジョン・ソング・コンテスト1997参加者
Q6361509,Eurovision Song Contest entrants of 1995,Category:ユーロビジョン・ソング・コンテスト1995参加者
Q6361527,Eurovision Song Contest entrants of 1994,Category:ユーロビジョン・ソング・コンテスト1994参加者
Q6361546,Eurovision Song Contest entrants of 1993,Category:ユーロビジョン・ソング・コンテスト1993参加者
Q6361566,Eurovision Song Contest entrants of 2007,Category:ユーロビジョン・ソング・コンテスト2007参加者
Q6361579,Eurovision Song Contest entrants of 2001,Category:ユーロビジョン・ソング・コンテスト2001参加者
Q6361593,Eurovision Song Contest entrants of 2002,Category:ユーロビジョン・ソング・コンテスト2002参加者
Q6361613,Eurovision Song Contest entrants of 1998,Category:ユーロビジョン・ソング・コンテスト1998参加者
Q6361630,Eurovision Song Contest entrants of 1996,Category:ユーロビジョン・ソング・コンテスト1996参加者
Q6361649,Eurovision Song Contest entrants of 1999,Category:ユーロビジョン・ソング・コンテスト1999参加者
Q6361670,Eurovision Song Contest entrants of 2000,Category:ユーロビジョン・ソング・コンテスト2000参加者
Q6361691,Eurovision Song Contest entrants of 2004,Category:ユーロビジョン・ソング・コンテスト2004参加者
Q6361711,Eurovision Song Contest entrants of 2010,Category:ユーロビジョン・ソング・コンテスト2010参加者
Q6361735,Eurovision Song Contest entrants of 2011,Category:ユーロビジョン・ソング・コンテスト2011参加者
Q6361752,Eurovision Song Contest entrants of 2009,Category:ユーロビジョン・ソング・コンテスト2009参加者
Q6361789,Eurovision Song Contest entrants of 1983,Category:ユーロビジョン・ソング・コンテスト1983参加者
Q6361956,Eurovision Song Contest entrants of 1977,Category:ユーロビジョン・ソング・コンテスト1977参加者
Q6361974,Eurovision Song Contest entrants of 1976,Category:ユーロビジョン・ソング・コンテスト1976参加者
Q6361989,Eurovision Song Contest entrants of 1978,Category:ユーロビジョン・ソング・コンテスト1978参加者
Q6362006,Eurovision Song Contest entrants of 1975,Category:ユーロビジョン・ソング・コンテスト1975参加者
Q6362023,Eurovision Song Contest entrants of 1984,Category:ユーロビジョン・ソング・コンテスト1984参加者
Q6362054,Eurovision Song Contest entrants of 1981,Category:ユーロビジョン・ソング・コンテスト1981参加者
Q6362088,Eurovision Song Contest entrants of 1988,Category:ユーロビジョン・ソング・コンテスト1988参加者
Q6362195,Eurovision Song Contest entrants by year,Category:各年のユーロビジョン・ソング・コンテスト参加者
Q6362257,Eurovision Song Contest entrants for Yugoslavia,Category:ユーゴスラビアのユーロビジョン・ソング・コンテスト参加者
Q6362527,Bulgaria in the Eurovision Song Contest,Category:ブルガリアのユーロビジョン・ソング・コンテスト
Q6362678,Phylogenetics,Category:系統学
Q6363276,Eurovision Song Contest entrants for Belgium,Category:ベルギーのユーロビジョン・ソング・コンテスト参加者
Q6363819,Genesis (band) members,Category:ジェネシスのメンバー
Q6372552,Lake Geneva,Category:レマン湖
Q6372613,People with Parkinson's disease,Category:パーキンソン病の人物
Q6387479,Grape diseases,Category:ブドウの病気
Q6389998,Countries in the Eurovision Song Contest,Category:各国のユーロビジョン・ソング・コンテスト
Q6397304,Medical journalism,Category:医学ジャーナリズム
Q6398598,Medical museums,Category:医学博物館
Q6398976,Eurovision Song Contest entrants of 2006,Category:ユーロビジョン・ソング・コンテスト2006参加者
Q6402818,Remote procedure call,Category:遠隔手続き呼出し
Q6403530,Pharmaceutical companies of the United Kingdom,Category:イギリスの医薬品メーカー
Q6403565,Pharmaceutical companies of Belgium,Category:ベルギーの医薬品メーカー
Q6403629,Companies based in Geneva,Category:ジュネーヴの企業
Q6403622,Pharmaceutical companies of Sweden,Category:スウェーデンの医薬品メーカー
Q6404436,Mammal anatomy,Category:哺乳動物の解剖学
Q6404459,Mollusc anatomy,Category:軟体動物の体
Q6414687,DNA viruses,Category:DNAウイルス
Q6418790,Health in Germany,Category:ドイツの保健
Q6398914,United States Air Force generals,Category:アメリカ合衆国空軍の将官
Q6367189,Protests in Bulgaria,
Q6354618,New General Catalogue,
Q6364696,Azerbaijan in the Eurovision Song Contest,
Q6364714,Netherlands in the Eurovision Song Contest,
Q6364742,Cyprus in the Eurovision Song Contest,
Q6364755,Denmark in the Eurovision Song Contest,
Q6364828,Finland in the Eurovision Song Contest,
Q6364808,Ukraine in the Eurovision Song Contest,
Q6365391,General secretaries of the Communist Party of Greece,
Q6368704,New Testament apocrypha,
Q6375610,Hardness tests,
Q6391528,Florida Panthers general managers,
Q6391545,Calgary Flames general managers,
Q6391547,Detroit Red Wings general managers,
Q6391538,Minnesota Wild general managers,
Q6391543,National Hockey League general managers,
